Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
7,24,7,0,,,,12.21,0,0,0,0
8,1,1,0,,,,11.49,0,0,0,0
8,2,1,0,,,,13.5,0,0,0,0
8,3,1,0,,,,15.09,0,0,0,0
8,4,1,0,,,,21.96,0,0,0,0
8,5,1,0,,,,36.9,0,0,0,0
8,6,1,0,,,,49.56,0,0,0,0
8,7,1,0,,,,59.07,0,0,0,0
8,8,1,0,,,,68.04,0,0,0,0
8,9,1,0,,,,68.7,0,0,0,0
8,10,1,0,,,,65.04,0,0,0,0
8,11,1,0,,,,63.39,0,0,0,0
8,12,1,0,,,,63.45,0,0,0,0
8,13,1,0,,,,62.01,0,0,0,0
8,14,1,0,,,,66.66,0,0,0,0
8,15,1,0,,,,62.55,0,0,0,0
8,16,1,0,,,,66.21,0,0,0,0
8,17,1,0,,,,50.67,0,0,0,0
8,18,1,0,,,,17.76,0,0,0,0
8,19,1,0,,,,11.49,0,0,0,0
8,20,1,0,,,,12.42,0,0,0,0
8,21,1,0,,,,9.48,0,0,0,0
8,22,1,0,,,,10.17,0,0,0,0
8,23,1,0,,,,9.63,0,0,0,0
8,24,1,0,,,,11.73,0,0,0,0
8,1,2,0,,,,11.16,0,0,0,0
8,2,2,0,,,,11.94,0,0,0,0
8,3,2,0,,,,13.29,0,0,0,0
8,4,2,0,,,,15.18,0,0,0,0
8,5,2,0,,,,37.65,0,0,0,0
8,6,2,0,,,,54.93,0,0,0,0
8,7,2,0,,,,57.87,0,0,0,0
8,8,2,0,,,,69.9,0,0,0,0
8,9,2,0,,,,65.49,0,0,0,0
8,10,2,0,,,,71.85,0,0,0,0
8,11,2,0,,,,68.55,0,0,0,0
8,12,2,0,,,,72.9,0,0,0,0
8,13,2,0,,,,68.73,0,0,0,0
8,14,2,0,,,,69.81,0,0,0,0
8,15,2,0,,,,67.77,0,0,0,0
8,16,2,0,,,,66.96,0,0,0,0
8,17,2,0,,,,56.94,0,0,0,0
8,18,2,0,,,,17.55,0,0,0,0
8,19,2,0,,,,12.93,0,0,0,0
8,20,2,0,,,,10.17,0,0,0,0
8,21,2,0,,,,11.61,0,0,0,0
8,22,2,0,,,,10.59,0,0,0,0
8,23,2,0,,,,10.71,0,0,0,0
8,24,2,0,,,,10.8,0,0,0,0
8,1,3,0,,,,9.45,0,0,0,0
8,2,3,0,,,,10.5,0,0,0,0
8,3,3,0,,,,12.42,0,0,0,0
8,4,3,0,,,,14.61,0,0,0,0
8,5,3,0,,,,31.92,0,0,0,0
8,6,3,0,,,,53.28,0,0,0,0
8,7,3,0,,,,55.77,0,0,0,0
8,8,3,0,,,,66.39,0,0,0,0
8,9,3,0,,,,64.23,0,0,0,0
8,10,3,0,,,,62.97,0,0,0,0
8,11,3,0,,,,61.47,0,0,0,0
8,12,3,0,,,,64.38,0,0,0,0
8,13,3,0,,,,57.39,0,0,0,0
8,14,3,0,,,,59.28,0,0,0,0
8,15,3,0,,,,56.34,0,0,0,0
8,16,3,0,,,,53.61,0,0,0,0
8,17,3,0,,,,43.41,0,0,0,0
8,18,3,0,,,,29.55,0,0,0,0
8,19,3,0,,,,28.32,0,0,0,0
8,20,3,0,,,,28.59,0,0,0,0
8,21,3,0,,,,14.34,0,0,0,0
8,22,3,0,,,,10.11,0,0,0,0
8,23,3,0,,,,11.13,0,0,0,0
8,24,3,0,,,,8.28,0,0,0,0
8,1,4,0,,,,9.9,0,0,0,0
8,2,4,0,,,,10.35,0,0,0,0
8,3,4,0,,,,9.69,0,0,0,0
8,4,4,0,,,,12.48,0,0,0,0
8,5,4,0,,,,30.84,0,0,0,0
8,6,4,0,,,,55.5,0,0,0,0
8,7,4,0,,,,59.79,0,0,0,0
8,8,4,0,,,,68.22,0,0,0,0
8,9,4,0,,,,69.66,0,0,0,0
8,10,4,0,,,,64.11,0,0,0,0
8,11,4,0,,,,60.27,0,0,0,0
8,12,4,0,,,,63.12,0,0,0,0
8,13,4,0,,,,65.4,0,0,0,0
8,14,4,0,,,,65.76,0,0,0,0
8,15,4,0,,,,63.75,0,0,0,0
8,16,4,0,,,,68.61,0,0,0,0
8,17,4,0,,,,56.37,0,0,0,0
8,18,4,0,,,,38.58,0,0,0,0
8,19,4,0,,,,32.43,0,0,0,0
8,20,4,0,,,,34.02,0,0,0,0
8,21,4,0,,,,13.23,0,0,0,0
8,22,4,0,,,,11.16,0,0,0,0
8,23,4,0,,,,11.52,0,0,0,0
8,24,4,0,,,,10.05,0,0,0,0
8,1,5,0,,,,11.31,0,0,0,0
8,2,5,0,,,,11.04,0,0,0,0
8,3,5,0,,,,10.59,0,0,0,0
8,4,5,0,,,,14.55,0,0,0,0
8,5,5,0,,,,37.86,0,0,0,0
8,6,5,0,,,,60.78,0,0,0,0
8,7,5,0,,,,63.36,0,0,0,0
8,8,5,0,,,,72.21,0,0,0,0
8,9,5,0,,,,68.73,0,0,0,0
8,10,5,0,,,,67.62,0,0,0,0
8,11,5,0,,,,66.9,0,0,0,0
8,12,5,0,,,,70.44,0,0,0,0
8,13,5,0,,,,67.83,0,0,0,0
8,14,5,0,,,,69.21,0,0,0,0
8,15,5,0,,,,61.56,0,0,0,0
8,16,5,0,,,,65.13,0,0,0,0
8,17,5,0,,,,47.49,0,0,0,0
8,18,5,0,,,,14.34,0,0,0,0
8,19,5,0,,,,9.72,0,0,0,0
8,20,5,0,,,,10.26,0,0,0,0
8,21,5,0,,,,8.16,0,0,0,0
8,22,5,0,,,,7.92,0,0,0,0
8,23,5,0,,,,10.59,0,0,0,0
8,24,5,0,,,,9.03,0,0,0,0
8,1,6,0,,,,9.75,0,0,0,0
8,2,6,0,,,,10.53,0,0,0,0
8,3,6,0,,,,8.85,0,0,0,0
8,4,6,0,,,,9.66,0,0,0,0
8,5,6,0,,,,19.95,0,0,0,0
8,6,6,0,,,,32.91,0,0,0,0
8,7,6,0,,,,30.84,0,0,0,0
8,8,6,0,,,,29.01,0,0,0,0
8,9,6,0,,,,28.47,0,0,0,0
8,10,6,0,,,,30.63,0,0,0,0
8,11,6,0,,,,27.99,0,0,0,0
8,12,6,0,,,,30.87,0,0,0,0
8,13,6,0,,,,27.03,0,0,0,0
8,14,6,0,,,,31.26,0,0,0,0
8,15,6,0,,,,26.52,0,0,0,0
8,16,6,0,,,,21.45,0,0,0,0
8,17,6,0,,,,10.44,0,0,0,0
8,18,6,0,,,,13.8,0,0,0,0
8,19,6,0,,,,11.43,0,0,0,0
8,20,6,0,,,,12.27,0,0,0,0
8,21,6,0,,,,9.27,0,0,0,0
8,22,6,0,,,,9.48,0,0,0,0
8,23,6,0,,,,12.75,0,0,0,0
8,24,6,0,,,,10.89,0,0,0,0
8,1,7,0,,,,11.97,0,0,0,0
8,2,7,0,,,,10.86,0,0,0,0
8,3,7,0,,,,12.66,0,0,0,0
8,4,7,0,,,,12.78,0,0,0,0
8,5,7,0,,,,13.2,0,0,0,0
8,6,7,0,,,,14.28,0,0,0,0
8,7,7,0,,,,11.22,0,0,0,0
8,8,7,0,,,,10.47,0,0,0,0
8,9,7,0,,,,9.78,0,0,0,0
8,10,7,0,,,,8.49,0,0,0,0
8,11,7,0,,,,7.32,0,0,0,0
8,12,7,0,,,,9.57,0,0,0,0
8,13,7,0,,,,8.01,0,0,0,0
8,14,7,0,,,,7.2,0,0,0,0
8,15,7,0,,,,7.17,0,0,0,0
8,16,7,0,,,,7.32,0,0,0,0
8,17,7,0,,,,9.21,0,0,0,0
8,18,7,0,,,,8.19,0,0,0,0
8,19,7,0,,,,7.62,0,0,0,0
8,20,7,0,,,,9.24,0,0,0,0
8,21,7,0,,,,10.89,0,0,0,0
8,22,7,0,,,,9.21,0,0,0,0
8,23,7,0,,,,10.89,0,0,0,0
8,24,7,0,,,,13.11,0,0,0,0
8,1,1,0,,,,12.57,0,0,0,0
8,2,1,0,,,,14.1,0,0,0,0
8,3,1,0,,,,17.52,0,0,0,0
8,4,1,0,,,,30.51,0,0,0,0
8,5,1,0,,,,40.29,0,0,0,0
8,6,1,0,,,,64.98,0,0,0,0
8,7,1,0,,,,64.05,0,0,0,0
8,8,1,0,,,,76.02,0,0,0,0
8,9,1,0,,,,75.33,0,0,0,0
8,10,1,0,,,,69.09,0,0,0,0
8,11,1,0,,,,69,0,0,0,0
8,12,1,0,,,,66.69,0,0,0,0
8,13,1,0,,,,62.85,0,0,0,0
8,14,1,0,,,,57.03,0,0,0,0
8,15,1,0,,,,45.69,0,0,0,0
8,16,1,0,,,,56.55,0,0,0,0
8,17,1,0,,,,42.42,0,0,0,0
8,18,1,0,,,,15.36,0,0,0,0
8,19,1,0,,,,9.51,0,0,0,0
8,20,1,0,,,,13.08,0,0,0,0
8,21,1,0,,,,8.73,0,0,0,0
8,22,1,0,,,,8.97,0,0,0,0
8,23,1,0,,,,9.87,0,0,0,0
8,24,1,0,,,,9.12,0,0,0,0
8,1,2,0,,,,12.18,0,0,0,0
8,2,2,0,,,,10.17,0,0,0,0
8,3,2,0,,,,9.93,0,0,0,0
8,4,2,0,,,,12.36,0,0,0,0
8,5,2,0,,,,31.62,0,0,0,0
8,6,2,0,,,,56.7,0,0,0,0
8,7,2,0,,,,57.96,0,0,0,0
8,8,2,0,,,,68.55,0,0,0,0
8,9,2,0,,,,68.61,0,0,0,0
8,10,2,0,,,,65.28,0,0,0,0
8,11,2,0,,,,67.8,0,0,0,0
8,12,2,0,,,,67.26,0,0,0,0
8,13,2,0,,,,66.45,0,0,0,0
8,14,2,0,,,,56.43,0,0,0,0
8,15,2,0,,,,46.32,0,0,0,0
8,16,2,0,,,,54.9,0,0,0,0
8,17,2,0,,,,41.1,0,0,0,0
8,18,2,0,,,,15.33,0,0,0,0
8,19,2,0,,,,9.42,0,0,0,0
8,20,2,0,,,,13.47,0,0,0,0
8,21,2,0,,,,8.64,0,0,0,0
8,22,2,0,,,,9.3,0,0,0,0
8,23,2,0,,,,10.26,0,0,0,0
8,24,2,0,,,,10.05,0,0,0,0
8,1,3,0,,,,9.69,0,0,0,0
8,2,3,0,,,,12.09,0,0,0,0
8,3,3,0,,,,10.11,0,0,0,0
8,4,3,0,,,,9.99,0,0,0,0
8,5,3,0,,,,25.38,0,0,0,0
8,6,3,0,,,,51.21,0,0,0,0
8,7,3,0,,,,49.47,0,0,0,0
8,8,3,0,,,,56.34,0,0,0,0
8,9,3,0,,,,49.59,0,0,0,0
8,10,3,0,,,,45.18,0,0,0,0
8,11,3,0,,,,51.24,0,0,0,0
8,12,3,0,,,,55.02,0,0,0,0
8,13,3,0,,,,46.38,0,0,0,0
8,14,3,0,,,,52.41,0,0,0,0
8,15,3,0,,,,46.89,0,0,0,0
8,16,3,0,,,,47.85,0,0,0,0
8,17,3,0,,,,41.34,0,0,0,0
8,18,3,0,,,,26.58,0,0,0,0
8,19,3,0,,,,27.33,0,0,0,0
8,20,3,0,,,,27.15,0,0,0,0
8,21,3,0,,,,9.93,0,0,0,0
8,22,3,0,,,,11.67,0,0,0,0
8,23,3,0,,,,9.69,0,0,0,0
8,24,3,0,,,,7.98,0,0,0,0
8,1,4,0,,,,10.44,0,0,0,0
8,2,4,0,,,,8.25,0,0,0,0
8,3,4,0,,,,8.13,0,0,0,0
8,4,4,0,,,,10.02,0,0,0,0
8,5,4,0,,,,28.44,0,0,0,0
8,6,4,0,,,,52.44,0,0,0,0
8,7,4,0,,,,57.69,0,0,0,0
8,8,4,0,,,,68.01,0,0,0,0
8,9,4,0,,,,66.6,0,0,0,0
8,10,4,0,,,,63.51,0,0,0,0
8,11,4,0,,,,65.49,0,0,0,0
8,12,4,0,,,,71.19,0,0,0,0
8,13,4,0,,,,69.24,0,0,0,0
8,14,4,0,,,,68.73,0,0,0,0
8,15,4,0,,,,65.91,0,0,0,0
8,16,4,0,,,,72.36,0,0,0,0
8,17,4,0,,,,57.6,0,0,0,0
8,18,4,0,,,,37.98,0,0,0,0
8,19,4,0,,,,32.07,0,0,0,0
8,20,4,0,,,,32.34,0,0,0,0
8,21,4,0,,,,13.29,0,0,0,0
8,22,4,0,,,,10.86,0,0,0,0
8,23,4,0,,,,9.96,0,0,0,0
8,24,4,0,,,,11.31,0,0,0,0
