Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
7,24,7,0,,,,20.3,0,0,0,0.0
8,1,1,0,,,,20.25,0,0,0,0.0
8,2,1,0,,,,19.85,0,0,0,0.0
8,3,1,0,,,,20.05,0,0,0,0.0
8,4,1,0,,,,20.2,0,0,0,0.0
8,5,1,0,,,,18.9,0,0,0,0.0
8,6,1,0,,,,15.25,0,0,0,1.6793939393939392
8,7,1,0,,,,17.85,0,0,0,56.259696969696975
8,8,1,0,,,,13.9,0,0,0,189.77151515151516
8,9,1,0,,,,24.45,0,0,0,236.79454545454544
8,10,1,0,,,,26.6,0,0,0,297.25272727272727
8,11,1,0,,,,29.9,0,0,0,154.50424242424242
8,12,1,0,,,,31.5,0,0,0,617.1772727272727
8,13,1,0,,,,26.05,0,0,0,942.1400000000001
8,14,1,0,,,,26.95,0,0,0,505.4975757575757
8,15,1,0,,,,27.4,0,0,0,645.7269696969697
8,16,1,0,,,,21.45,0,0,0,581.070303030303
8,17,1,0,,,,23.15,0,0,0,441.680606060606
8,18,1,0,,,,16.35,0,0,0,443.35999999999996
8,19,1,0,,,,16.5,0,0,0,299.77181818181816
8,20,1,0,,,,15.1,0,0,0,180.5348484848485
8,21,1,0,,,,13.2,0,0,0,67.17575757575759
8,22,1,0,,,,16.6,0,0,0,35.26727272727273
8,23,1,0,,,,14.85,0,0,0,0.8396969696969696
8,24,1,0,,,,18.9,0,0,0,0.0
8,1,2,0,,,,20.2,0,0,0,0.0
8,2,2,0,,,,20.55,0,0,0,0.0
8,3,2,0,,,,19.8,0,0,0,0.0
8,4,2,0,,,,20.2,0,0,0,0.0
8,5,2,0,,,,19.95,0,0,0,0.8396969696969696
8,6,2,0,,,,16.4,0,0,0,20.152727272727272
8,7,2,0,,,,12.85,0,0,0,65.49636363636363
8,8,2,0,,,,18.0,0,0,0,165.42030303030302
8,9,2,0,,,,23.4,0,0,0,185.57303030303032
8,10,2,0,,,,30.75,0,0,0,177.1760606060606
8,11,2,0,,,,30.4,0,0,0,293.8939393939394
8,12,2,0,,,,30.45,0,0,0,458.4745454545455
8,13,2,0,,,,28.7,0,0,0,303.1306060606061
8,14,2,0,,,,30.7,0,0,0,150.30575757575758
8,15,2,0,,,,36.5,0,0,0,81.45060606060608
8,16,2,0,,,,29.05,0,0,0,86.48878787878789
8,17,2,0,,,,25.35,0,0,0,67.17575757575759
8,18,2,0,,,,17.65,0,0,0,120.07666666666667
8,19,2,0,,,,16.25,0,0,0,105.80181818181818
8,20,2,0,,,,17.9,0,0,0,83.96969696969697
8,21,2,0,,,,17.7,0,0,0,28.54969696969697
8,22,2,0,,,,17.8,0,0,0,8.396969696969698
8,23,2,0,,,,20.2,0,0,0,0.0
8,24,2,0,,,,20.75,0,0,0,0.0
8,1,3,0,,,,20.35,0,0,0,0.0
8,2,3,0,,,,20.55,0,0,0,0.0
8,3,3,0,,,,20.15,0,0,0,0.0
8,4,3,0,,,,19.3,0,0,0,0.0
8,5,3,0,,,,20.3,0,0,0,0.0
8,6,3,0,,,,19.5,0,0,0,0.0
8,7,3,0,,,,15.9,0,0,0,10.076363636363636
8,8,3,0,,,,15.85,0,0,0,28.54969696969697
8,9,3,0,,,,26.65,0,0,0,73.89333333333333
8,10,3,0,,,,25.8,0,0,0,57.09939393939394
8,11,3,0,,,,30.75,0,0,0,43.664242424242424
8,12,3,0,,,,30.4,0,0,0,38.626060606060605
8,13,3,0,,,,25.45,0,0,0,354.3521212121212
8,14,3,0,,,,26.1,0,0,0,196.48909090909092
8,15,3,0,,,,19.85,0,0,0,274.5809090909091
8,16,3,0,,,,28.9,0,0,0,287.17636363636365
8,17,3,0,,,,24.45,0,0,0,290.5351515151515
8,18,3,0,,,,19.55,0,0,0,167.09969696969696
8,19,3,0,,,,16.2,0,0,0,153.66454545454545
8,20,3,0,,,,15.3,0,0,0,61.29787878787879
8,21,3,0,,,,16.65,0,0,0,29.38939393939394
8,22,3,0,,,,19.75,0,0,0,1.6793939393939392
8,23,3,0,,,,17.8,0,0,0,0.0
8,24,3,0,,,,16.75,0,0,0,0.0
8,1,4,0,,,,18.45,0,0,0,0.0
8,2,4,0,,,,20.05,0,0,0,0.0
8,3,4,0,,,,20.55,0,0,0,0.0
8,4,4,0,,,,19.45,0,0,0,0.0
8,5,4,0,,,,19.85,0,0,0,0.0
8,6,4,0,,,,20.0,0,0,0,0.0
8,7,4,0,,,,12.8,0,0,0,6.717575757575757
8,8,4,0,,,,11.6,0,0,0,33.58787878787879
8,9,4,0,,,,14.85,0,0,0,55.419999999999995
8,10,4,0,,,,20.95,0,0,0,219.16090909090912
8,11,4,0,,,,26.45,0,0,0,453.43636363636364
8,12,4,0,,,,23.5,0,0,0,431.60424242424244
8,13,4,0,,,,26.95,0,0,0,219.16090909090912
8,14,4,0,,,,26.05,0,0,0,197.3287878787879
8,15,4,0,,,,25.7,0,0,0,162.90121212121215
8,16,4,0,,,,25.75,0,0,0,91.52696969696969
8,17,4,0,,,,24.55,0,0,0,112.51939393939395
8,18,4,0,,,,17.3,0,0,0,118.39727272727272
8,19,4,0,,,,15.85,0,0,0,127.6339393939394
8,20,4,0,,,,14.1,0,0,0,58.77878787878788
8,21,4,0,,,,16.6,0,0,0,66.33606060606061
8,22,4,0,,,,18.8,0,0,0,2.519090909090909
8,23,4,0,,,,20.05,0,0,0,0.0
8,24,4,0,,,,16.85,0,0,0,0.0
8,1,5,0,,,,20.55,0,0,0,0.0
8,2,5,0,,,,20.25,0,0,0,0.0
8,3,5,0,,,,20.45,0,0,0,0.0
8,4,5,0,,,,18.75,0,0,0,0.0
8,5,5,0,,,,20.35,0,0,0,0.0
8,6,5,0,,,,19.45,0,0,0,0.8396969696969696
8,7,5,0,,,,15.85,0,0,0,40.305454545454545
8,8,5,0,,,,15.3,0,0,0,47.0230303030303
8,9,5,0,,,,15.5,0,0,0,90.68727272727273
8,10,5,0,,,,20.4,0,0,0,162.90121212121215
8,11,5,0,,,,24.7,0,0,0,220.00060606060606
8,12,5,0,,,,20.45,0,0,0,323.28333333333336
8,13,5,0,,,,23.4,0,0,0,617.1772727272727
8,14,5,0,,,,24.2,0,0,0,335.8787878787879
8,15,5,0,,,,20.35,0,0,0,605.4215151515151
8,16,5,0,,,,21.0,0,0,0,527.3296969696969
8,17,5,0,,,,18.05,0,0,0,696.1087878787879
8,18,5,0,,,,16.9,0,0,0,388.77969696969694
8,19,5,0,,,,16.2,0,0,0,273.7412121212121
8,20,5,0,,,,17.0,0,0,0,146.10727272727271
8,21,5,0,,,,16.6,0,0,0,47.86272727272728
8,22,5,0,,,,17.6,0,0,0,5.038181818181818
8,23,5,0,,,,20.8,0,0,0,0.0
8,24,5,0,,,,20.4,0,0,0,0.0
8,1,6,0,,,,20.7,0,0,0,0.0
8,2,6,0,,,,19.85,0,0,0,0.0
8,3,6,0,,,,20.5,0,0,0,0.0
8,4,6,0,,,,20.25,0,0,0,0.0
8,5,6,0,,,,19.95,0,0,0,0.0
8,6,6,0,,,,20.5,0,0,0,0.13994948484848485
8,7,6,0,,,,16.4,0,0,0,16.65398990909091
8,8,6,0,,,,16.8,0,0,0,33.16803030303031
8,9,6,0,,,,18.9,0,0,0,81.87045454545455
8,10,6,0,,,,18.25,0,0,0,166.819798
8,11,6,0,,,,17.25,0,0,0,198.86823230303028
8,12,6,0,,,,17.4,0,0,0,174.23712121212122
8,13,6,0,,,,18.2,0,0,0,229.5171716969697
8,14,6,0,,,,17.4,0,0,0,165.28035351515152
8,15,6,0,,,,18.05,0,0,0,218.7410606060606
8,16,6,0,,,,18.05,0,0,0,207.54510103030304
8,17,6,0,,,,17.05,0,0,0,307.3290909090909
8,18,6,0,,,,16.85,0,0,0,187.6722727272727
8,19,6,0,,,,16.4,0,0,0,119.7967676969697
8,20,6,0,,,,16.4,0,0,0,58.0790403939394
8,21,6,0,,,,16.5,0,0,0,28.969545454545454
8,22,6,0,,,,17.65,0,0,0,1.9592929393939393
8,23,6,0,,,,15.7,0,0,0,0.0
8,24,6,0,,,,17.75,0,0,0,0.0
8,1,7,0,,,,15.7,0,0,0,0.0
8,2,7,0,,,,17.25,0,0,0,0.0
8,3,7,0,,,,15.75,0,0,0,0.0
8,4,7,0,,,,18.35,0,0,0,0.0
8,5,7,0,,,,15.25,0,0,0,0.0
8,6,7,0,,,,15.8,0,0,0,0.16327439393939394
8,7,7,0,,,,14.95,0,0,0,19.98945287878788
8,8,7,0,,,,12.1,0,0,0,42.05482324242424
8,9,7,0,,,,15.9,0,0,0,109.23058078787878
8,10,7,0,,,,16.4,0,0,0,207.0786026969697
8,11,7,0,,,,16.35,0,0,0,270.0792003333333
8,12,7,0,,,,16.4,0,0,0,261.6355807878788
8,13,7,0,,,,16.05,0,0,0,291.28154881818176
8,14,7,0,,,,12.55,0,0,0,219.69738215151517
8,15,7,0,,,,16.45,0,0,0,258.8365909090909
8,16,7,0,,,,14.85,0,0,0,236.3980219090909
8,17,7,0,,,,14.05,0,0,0,291.09494951515154
8,18,7,0,,,,13.15,0,0,0,183.26386363636362
8,19,7,0,,,,12.9,0,0,0,122.9689561818182
8,20,7,0,,,,13.15,0,0,0,70.97771884848484
8,21,7,0,,,,11.6,0,0,0,34.77744948484849
8,22,7,0,,,,16.05,0,0,0,3.825286212121212
8,23,7,0,,,,17.85,0,0,0,0.0
8,24,7,0,,,,16.5,0,0,0,0.0
8,1,1,0,,,,18.2,0,0,0,0.0
8,2,1,0,,,,20.2,0,0,0,0.0
8,3,1,0,,,,18.65,0,0,0,0.0
8,4,1,0,,,,19.75,0,0,0,0.0
8,5,1,0,,,,19.85,0,0,0,0.0
8,6,1,0,,,,19.7,0,0,0,0.1904868181818182
8,7,1,0,,,,16.25,0,0,0,17.723048545454546
8,8,1,0,,,,17.85,0,0,0,39.82729378787879
