Electricity Pricing [$],6h Prediction Electricity Pricing [$],12h Prediction Electricity Pricing [$],24h Prediction Electricity Pricing [$]
0.47,0.41,0.48,0.32
0.41,0.43,0.44,0.32
0.42,0.49,0.42,0.32
0.44,0.49,0.42,0.32
0.38,0.49,0.42,0.3
0.4,0.49,0.41,0.32
0.41,0.48,0.4,0.32
0.43,0.44,0.38,0.32
0.49,0.42,0.35,0.33
0.49,0.42,0.32,0.36
0.49,0.42,0.33,0.37
0.49,0.41,0.32,0.37
0.48,0.4,0.32,0.37
0.44,0.38,0.32,0.37
0.42,0.35,0.32,0.37
0.42,0.32,0.32,0.36
0.42,0.33,0.3,0.35
0.41,0.32,0.32,0.33
0.4,0.32,0.32,0.33
0.38,0.32,0.32,0.33
0.35,0.32,0.33,0.33
0.32,0.32,0.36,0.35
0.33,0.3,0.37,0.39
0.32,0.32,0.37,0.33
0.32,0.32,0.37,0.21
0.32,0.32,0.37,0.2
0.32,0.33,0.37,0.2
0.32,0.36,0.36,0.2
0.3,0.37,0.35,0.2
0.32,0.37,0.33,0.29
0.32,0.37,0.33,0.35
0.32,0.37,0.33,0.35
0.33,0.37,0.33,0.37
0.36,0.36,0.35,0.39
0.37,0.35,0.39,0.39
0.37,0.33,0.33,0.39
0.37,0.33,0.21,0.39
0.37,0.33,0.2,0.4
0.37,0.33,0.2,0.4
0.36,0.35,0.2,0.4
0.35,0.39,0.2,0.42
0.33,0.33,0.29,0.46
0.33,0.21,0.35,0.46
0.33,0.2,0.35,0.45
0.33,0.2,0.37,0.44
0.35,0.2,0.39,0.43
0.39,0.2,0.39,0.39
0.33,0.29,0.39,0.34
0.21,0.35,0.39,0.4
0.2,0.35,0.4,0.37
0.2,0.37,0.4,0.35
0.2,0.39,0.4,0.35
0.2,0.39,0.42,0.35
0.29,0.39,0.46,0.37
0.35,0.39,0.46,0.37
0.35,0.4,0.45,0.43
0.37,0.4,0.44,0.44
0.39,0.4,0.43,0.45
0.39,0.42,0.39,0.45
0.39,0.46,0.34,0.46
0.39,0.46,0.4,0.47
0.4,0.45,0.37,0.47
0.4,0.44,0.35,0.47
0.4,0.43,0.35,0.48
0.42,0.39,0.35,0.48
0.46,0.34,0.37,0.49
0.46,0.4,0.37,0.49
0.45,0.37,0.43,0.49
0.44,0.35,0.44,0.49
0.43,0.35,0.45,0.49
0.39,0.35,0.45,0.49
0.34,0.37,0.46,0.49
0.4,0.37,0.47,0.54
0.37,0.43,0.47,0.52
0.35,0.44,0.47,0.5
0.35,0.45,0.48,0.5
0.35,0.45,0.48,0.5
0.37,0.46,0.49,0.5
0.37,0.47,0.49,0.63
0.43,0.47,0.49,0.7
0.44,0.47,0.49,0.66
0.45,0.48,0.49,0.57
0.45,0.48,0.49,0.53
0.46,0.49,0.49,0.53
0.47,0.49,0.54,0.5
0.47,0.49,0.52,0.5
0.47,0.49,0.5,0.5
0.48,0.49,0.5,0.5
0.48,0.49,0.5,0.49
0.49,0.49,0.5,0.48
0.49,0.54,0.63,0.48
0.49,0.52,0.7,0.47
0.49,0.5,0.66,0.46
0.49,0.5,0.57,0.46
0.49,0.5,0.53,0.43
0.49,0.5,0.53,0.43
0.54,0.63,0.5,0.52
0.52,0.7,0.5,0.52
0.5,0.66,0.5,0.52
0.5,0.57,0.5,0.52
0.5,0.53,0.49,0.52
0.5,0.53,0.48,0.54
0.63,0.5,0.48,0.5
0.7,0.5,0.47,0.52
0.66,0.5,0.46,0.54
0.57,0.5,0.46,0.53
0.53,0.49,0.43,0.53
0.53,0.48,0.43,0.53
0.5,0.48,0.52,0.54
0.5,0.47,0.52,0.53
0.5,0.46,0.52,0.54
0.5,0.46,0.52,0.55
0.49,0.43,0.52,0.54
0.48,0.43,0.54,0.54
0.48,0.52,0.5,0.53
0.47,0.52,0.52,0.53
0.46,0.52,0.54,0.52
0.46,0.52,0.53,0.52
0.43,0.52,0.53,0.52
0.43,0.54,0.53,0.51
0.52,0.5,0.54,0.48
0.52,0.52,0.53,0.48
0.52,0.54,0.54,0.44
0.52,0.53,0.55,0.42
0.52,0.53,0.54,0.4
0.54,0.53,0.54,0.4
0.5,0.54,0.53,0.4
0.52,0.53,0.53,0.51
0.54,0.54,0.52,0.52
0.53,0.55,0.52,0.53
0.53,0.54,0.52,0.53
0.53,0.54,0.51,0.54
0.54,0.53,0.48,0.54
0.53,0.53,0.48,0.55
0.54,0.52,0.44,0.55
0.55,0.52,0.42,0.57
0.54,0.52,0.4,0.57
0.54,0.51,0.4,0.57
0.53,0.48,0.4,0.56
0.53,0.48,0.51,0.55
0.52,0.44,0.52,0.5
0.52,0.42,0.53,0.48
0.52,0.4,0.53,0.49
0.51,0.4,0.54,0.46
0.48,0.4,0.54,0.38
0.48,0.51,0.55,0.37
0.44,0.52,0.55,0.36
0.42,0.53,0.57,0.36
0.4,0.53,0.57,0.37
0.4,0.54,0.57,0.39
0.4,0.54,0.56,0.39
0.51,0.55,0.55,0.4
0.52,0.55,0.5,0.41
0.53,0.57,0.48,0.45
0.53,0.57,0.49,0.49
0.54,0.57,0.46,0.5
0.54,0.56,0.38,0.5
0.55,0.55,0.37,0.5
0.55,0.5,0.36,0.5
0.57,0.48,0.36,0.5
0.57,0.49,0.37,0.51
0.57,0.46,0.39,0.51
0.56,0.38,0.39,0.51
0.55,0.37,0.4,0.51
0.5,0.36,0.41,0.5
0.48,0.36,0.45,0.5
0.49,0.37,0.49,0.51
0.46,0.39,0.5,0.5
0.38,0.39,0.5,0.42
0.37,0.4,0.5,0.4
0.36,0.41,0.5,0.39
0.36,0.45,0.5,0.38
0.37,0.49,0.51,0.37
0.39,0.5,0.51,0.37
0.39,0.5,0.51,0.35
0.4,0.5,0.51,0.37
0.41,0.5,0.5,0.38
0.45,0.5,0.5,0.4
0.49,0.51,0.51,0.41
0.5,0.51,0.5,0.43
0.5,0.51,0.42,0.44
0.5,0.51,0.4,0.44
0.5,0.5,0.39,0.45
0.5,0.5,0.38,0.48
0.51,0.51,0.37,0.48
0.51,0.5,0.37,0.48
0.51,0.42,0.35,0.48
0.51,0.4,0.37,0.48
0.5,0.39,0.38,0.48
0.5,0.38,0.4,0.46
0.51,0.37,0.41,0.48
0.5,0.37,0.43,0.45
0.42,0.35,0.44,0.41
0.4,0.37,0.44,0.4
0.39,0.38,0.45,0.4
0.38,0.4,0.48,0.41
0.37,0.41,0.48,0.44
0.37,0.43,0.48,0.48
0.35,0.44,0.48,0.54
0.37,0.44,0.48,0.57
0.38,0.45,0.48,0.61
0.4,0.48,0.46,0.56
0.41,0.48,0.48,0.54
0.43,0.48,0.45,0.53
0.44,0.48,0.41,0.52
0.44,0.48,0.4,0.51
0.45,0.48,0.4,0.51
0.48,0.46,0.41,0.5
0.48,0.48,0.44,0.49
0.48,0.45,0.48,0.47
0.48,0.41,0.54,0.46
0.48,0.4,0.57,0.45
0.48,0.4,0.61,0.44
0.46,0.41,0.56,0.42
0.48,0.44,0.54,0.41
0.45,0.48,0.53,0.4
0.41,0.54,0.52,0.35
0.4,0.57,0.51,0.32
0.4,0.61,0.51,0.27
0.41,0.56,0.5,0.25
